alder,Forskolelarare,Lagmellanstdlr,Amneslarare,PrakEstLarare,Yrkeslarare,Humanist,Konstutb,Teolog,Biblinfo,Ekonom,Personalvetare,Jurist,Journalist,Psykolog,Samhbetvet,Biolog,Systvet,Fysiker,Geovet,Kemist,Matstat,Arkitekt,Civ_ing,Hgsk_ing,Agronom,Veterinar,Apotekare,Arbterap,Biomed_analyt,Lakare,Receptarie,Sjukgymn,Sjukskoterska,Soc_omsorg,Socionom,Tandhyg,Tandlakare,Akademiker_totalt,GymnTotal,GymnNatv,GymnSamhv
55,"8515278,892","8859391,39","9126493,975","9006783,129","9239033,407","9053432,915","8605497,97","9625800,086","8599984,384","12360072,16","10032950,36","12336997,84","10197414,74","9940847,736","10451478,14","9293345,479","10960226,85","10134289,55","9782228,053","9756482,175","10972517,01","10315022,1","12242712,6","10917915,72","10214717,22","10490158,1","10895500,72","8670128,182","9043383,512","13416871,97","9804220,086","8958616,344","9339350,401","9030244,887","9298782,082","8619855,292","11002423,3","10552302,14","9914456,019","10274510,05","9866787,322"
56,"8786147,691","9153033,589","9438859,402","9305144,44","9553478,085","9356023,493","8875868,556","9971163,382","8886836,473","12812565,46","10373066,99","12791252,28","10534103,75","10279825,69","10831054,71","9606469,682","11332680,24","10482284,84",10104718,"10093911,17","11346444,92","10676223,83","12675719,11","11265279,08","10579616,54","10867138,16","11286767,13","8948546,654","9336786,565","13945282,26","10120626,88","9253507,918","9640132,545","9334025,21","9617585,458","8896762,08","11404026,65","10915958,5","10221132,07","10597885,39","10171174,44"
57,"9057830,008","9448022,038","9752268,919","9603945,829","9868484,881","9658652,991","9146239,141","10317787,5","9174445,075","13265058,75","10713183,62","13245506,72","10870792,76","10619686,84","11211189,29","9919693,117","11705133,62","10830280,13","10427207,94","10431340,17","11720372,83","11038415,2","13108725,61","11612642,43","10944515,87","11245432,89","11680389,79","9227316,602","9630276,631","14476369,87","10437716,99","9548864,24","9941807,765","9638142,618","9938199,129","9174075,225","11807707,88","11279614,85","10528495,49","10922013,11","10476240,01"
58,"9330308,495","9744327,852","10066657,62","9903065,479","10183896,49","9961282,49","9416609,727","10665639,75","9462713,461","13717552,05","11053300,26","13699761,16","11207481,77","10960363,82","11591660,21","10232916,55","12077587,01","11178275,41","10749697,88","10768769,17","12094300,73","11401514,2","13541732,11","11960005,79","11309415,19","11624966,26","12076310,68","9506352,011","9923766,697","15009783,72","10755430,9","9844591,162","10244339,78","9942430,357","10260335,43","9451735,155","12213335,6","11643271,21","10836316,36","11246641,55","10781757,1"
59,"9603565,807","10041922,15","10381960,6","10202381,58","10499555,6","10263911,99","9686980,313","11014532,16","9751609,091","14170045,35","11393416,89","14154015,6","11544170,79","11301841,34","11972245,79","10546139,99","12450040,4","11526270,7","11072187,83","11106198,17","12468228,64","11765339,3","13974738,62","12307369,15","11674314,51","12005559,14","12474523,58","9785566,867","10217256,76","15545229,86","11073760,85","10140594,53","10547659,34","10246754,49","10583964,72","9729650,044","12620891,71","12006927,57","11144689,54","11571874,53","11087819,34"
60,"9877826,968","10341504,79","10698333,3","10502092,31","10815584,25","10569852,1","9957350,899","11366798,4","10042499,66","14620463,64","11739352,77","14611327,89","11881493,76","11644320,13","12357885,29","10859363,42","12822493,79","11874265,99","11394677,77","11443627,16","12842156,55","12131331,61","14405926,44","12653428,04","12043249,28","12390652,65","12876302,76","10064982,97","10510811,41","16084919,54","11393635,88","10436863,85","10851834,34","10551229,92","10909279,42","10008276,52","13031218,78","12372128,63","11451427,88","11895318,05","11392267,94"
61,"10152768,41","10642291,02","11015212,58","10801821,05","11131612,91","10875792,2","10227721,48","11719945,5","10333860,3","15070881,93","12085288,66","15068640,18","12218816,73","11987465,74","12743524,78","11172586,86","13194947,17","12222261,28","11717167,71","11781056,16","13216084,46","12497789,59","14837114,27","12999486,94","12412184,05","12776614,23","13279981,96","10344406,5","10804366,05","16626062,46","11714062,57","10733188,69","11156691,74","10855705,35","11236081,81","10286974,56","13443330,95","12737329,7","11759654,93","12220391,09","11698185,96"
62,"10428372,75","10944251,82","11332520,68","11101549,78","11447641,56","11181732,31","10498092,07","12073835,75","10625658,17","15521300,22","12431224,54","15525952,47","12556139,7","12331210,73","13129164,28","11485810,29","13567400,56","12570256,57","12039657,66","12118485,16","13590012,37","12864630,67","15268302,09","13345545,84","12781118,81","13163262,19","13685564,73","10623830,02","11097920,7","17168305,4","12035033,15","11029513,53","11462195,25","11160180,78","11564342,24","10565684,37","13857096,39","13102530,77","12068753,58","12546418,16","12004964,26"
63,"10704589,98","11247325,49","11650231,63","11401278,52","11763670,22","11487672,42","10768462,66","12428331,46","10917795,67","15971718,52","12777160,42","15983264,77","12893462,67","12675487,63","13514803,77","11799033,73","13939853,95","12918251,86","12362147,6","12455914,16","13963940,27","13231672,11","15699489,92","13691604,74","13150053,58","13550467,15","14092997,66","10903253,54","11391475,34","17711352,59","12356487,78","11325838,37","11768308,57","11464656,21","11894083,76","10844394,18","14272440,08","13467731,84","12378788,47",12873470,"12312666,67"
64,"10981402,71","11551450,34","11968267,67","11701007,26","12079698,88","11793612,53","11038833,24","12783347,25","11210239,98","16422136,81","13123096,3","16440577,06","13230785,64","13020281,11","13900443,27","12112257,16","14312307,33","13266247,14","12684637,54","12793343,15","14337868,18","13598781,25","16130677,74","14037663,63","13518988,35","13938047,44","14502227,35","11182677,07","11685029,99","18254850,83","12678418,69","11622163,2","12074995,39","11769131,63","12225276,71","11123103,99","14689287,03","13832932,91","12568190,97","13075677,02","12499992,1"
65,"11148310,54","11725951,7","12150846,69","11882047,06","12263524,06","11977144,49","11210771,07","12988421,79","11383973,93","16758009,77","13350233,07","16783066,6","13448577,4","13226264,66","14150862,97","12311643,71","14581450,27","13505793,36","12899031,67","13013124,68","14619607,63","13836764,91","16460891,85","14280603,04","13762824,67","14189709,6","14761247,58","11352116,07","11860748,31","18627046,67","12868160,77","11795976,92","12255248,86","11946696,76","12411040,28","11289902,99","14954119,04","14080076,32","12750629,04","13269768,59","12680552,5"
66,"11315218,37","11900453,07","12333425,71","12063086,85","12447349,23","12160676,46","11382708,9","13193496,33","11557707,89","17093882,72","13577369,84","17125556,14","13666369,16","13432248,2","14401282,67","12511030,25","14850593,2","13745339,58","13113425,79","13232906,2","14901347,07","14074748,56","16791105,97","14523542,44",14006661,"14441371,76","15020267,81","11521555,08","12036466,63","18999242,51","13057902,84","11969790,63","12435502,33","12124261,88","12596803,85","11456701,99","15218951,04","14327219,74","12933067,12","13463860,15","12861112,9"
67,"11482126,21","12074954,43","12516004,73","12244126,64","12631174,41","12344208,42","11554646,73","13398570,88","11731441,84","17429755,68","13804506,61","17468045,68","13884160,92","13638231,74","14651702,38","12710416,8","15119736,14","13984885,79","13327819,91","13452687,72","15183086,52","14312732,22","17121320,08","14766481,84","14250497,32","14693033,91","15279288,03","11690994,08","12212184,95","19371438,36","13247644,92","12143604,35","12615755,8","12301827,01","12782567,42","11623500,99","15483783,04","14574363,15","13115505,19","13657951,72","13041673,31"
68,"11649034,04","12249455,79","12698583,76","12425166,44","12814999,59","12527740,39","11726584,56","13603645,42","11905175,8","17765628,64","14031643,38","17810535,22","14101952,68","13844215,28","14902122,08","12909803,34","15388879,07","14224432,01","13542214,04","13672469,24","15464825,97","14550715,88","17451534,19","15009421,24","14494333,65","14944696,07","15538308,26","11860433,09","12387903,27","19743634,2",13437387,"12317418,06","12796009,27","12479392,13","12968330,99","11790299,98","15748615,05","14821506,57","13297943,26","13852043,28","13222233,71"
69,"11815941,87","12423957,16","12881162,78","12606206,23","12998824,77","12711272,35","11898522,39","13808719,96","12078909,75","18101501,6","14258780,15","18153024,77","14319744,44","14050198,82","15152541,79","13109189,89","15658022,01","14463978,22","13756608,16","13892250,77","15746565,41","14788699,53","17781748,31","15252360,64","14738169,97","15196358,23","15797328,49","12029872,1","12563621,6","20115830,04","13627129,08","12491231,78","12976262,73","12656957,25","13154094,56","11957098,98","16013447,05","15068649,99","13480381,33","14046134,85","13402794,11"
